Word,Word2
aproveitamento,aproveitamento
aproveitamentos,aproveitamento
aproveitando,aproveitar
aproveitar,aproveitar
aproveitarem,aproveitar
aproveitarmos,aproveitar
aproveite,aproveitar
aprovisionamento,aprovisionamento
aprovou,aprovar
aproxima,aproximar
aproximação,aproximação
aproximadamente,aproximadamente
aproximado,aproximado
aproximam,aproximar
aproximando,aproximar
aproximar,aproximar
aproxime,aproximar
aptidão,aptidão
aptos,apto
apurado,apurado
apurados,apurado
apuramento,apuramento
aquacultura,aquacultura
aquando,aquando
aquático,aquático
aquáticos,aquático
aquece,aquecer
aquecer,aquecer
aquecimento,aquecimento
aquela,aquele
aquelas,aquele
aquele,aquele
àquele,àquele
aqueles,aquele
àqueles,àquele
aquém,aquém
aqui,aqui
aquicultura,aquicultura
aquíferos,aquífero
aquilo,aquilo
aquisição,aquisição
aquisições,aquisição
ar,AR
ara,ara
arantir,garantir
arbitragem,arbitragem
arbitrais,arbitral
arbitral,arbitral
arbitrária,arbitrário
arbitrárias,arbitrário
arbitrariedade,arbitrariedade
arbitrariedades,arbitrariedade
árbitro,árbitro
árbitros,árbitro
arborização,arborização
ardida,ardido
ardidas,ardido
ardilosa,ardiloso
árduo,árduo
área,área
areas,arear
áreas,área
arena,arena
ares,arar
argemela,
arguido,arguido
arguidos,arguido
argumenta,argumentar
argumento,argumento
argumentos,argumento
aritmético,aritmético
arma,arma
armadas,armar
armadilha,armadilha
armado,armado
armadores,armadores
armados,armado
armamentista,armamentista
armamento,armamento
armas,armas
armazém,armazém
armazenada,armazenado
armazenados,armazenado
armazenagem,armazenagem
armazenamento,armazenamento
armazenar,armazenar
aro,aro
arqueologia,arqueologia
arqueológicas,arqueológico
arqueológico,arqueológico
arqueológicos,arqueológico
arquipelágica,
arquipélagos,arquipélago
arquitectónicas,
arquitectura,arquitetura
arquitetónicas,
arquitetura,arquitetura
arquivada,arquivado
arquivadas,arquivado
arquivados,arquivado
arquivística,arquivística
arquivo,arquivo
arquivos,arquivo
arranjo,arranjo
arranque,arranque
arrasta,arrastar
arrastam,arrastar
arrastar,arrastar
arrastaram,arrastar
arrasto,arrasto
arrecadação,arrecadação
arrecadar,arrecadar
arredores,arredor
arrefecê,arrefecer
arrefecimento,arrefecimento
arrematações,arrematação
arrenda,arrendar
arrendada,arrendado
arrendadas,arrendado
arrendados,arrendado
arrendamento,arrendamento
arrendamentos,arrendamento
arrendar,arrendar
arrendatárias,arrendatário
arrendatário,arrendatário
arrendatários,arrendatário
arrependimento,arrependimento
arrisca,arriscar
arriscam,arriscar
arriscando,arriscar
arriscar,arriscar
arrogante,arrogante
arrogar,arrogar
arrojada,arrojado
ars,ARS
art,art.
arte,arte
artes,artes
artesanal,artesanal
artesãos,artesão
articula,articular
articulação,articulação
articulada,articulado
articuladas,articulado
articulado,articulado
articulados,articulados
articulando,articular
articular,articular
articularia,articular
articule,articular
artifical,artificial
artificiais,artificial
artificial,artificial
artificialmente,artificialmente
artificiosos,artificioso
artigo,artigo
artigos,artigo
artis,
artistas,artista
artística,artístico
artísticas,artístico
artístico,artístico
artísticos,artístico
as,As
asas,asas
ascendência,ascendência
ascendente,ascendente
ascendentes,ascendente
ascensão,ascensão
ase,ase
asec,
asfixia,asfixia
asfixiar,asfixiar
ásia,
asiáticas,asiático
asic,
asilo,asilo
aspecto,aspeto
aspectos,aspeto
aspeto,aspeto
aspetos,aspeto
aspira,aspirar
aspirações,aspiração
aspiram,aspirar
aspirar,aspirar
assagem,
assalariada,assalariado
assalariado,assalariado
assalariados,assalariado
assalto,assalto
assassinadas,assassinado
assassinados,assassinado
assassinatos,assassinato
asse,asse
assédio,assédio
assegura,assegurar
assegurada,assegurado
asseguradas,assegurado
assegurado,assegurado
assegurados,assegurado
asseguram,assegurar
assegurando,assegurar
assegurandolhe,
assegurar,assegurar
assegurarão,assegurar
assegure,assegurar
assegurem,assegurar
assembleia,assembleia
assembleias,assembleias
assenta,
assentar,assentar
assente,assente
assentes,assente
assento,assento
assessores,assessor
assessoria,assessoria
assessorias,assessoria
asset,
assets,
assilvestrados,
assim,assim
assimetria,assimetria
assimetrias,assimetria
assimétrico,assimétrico
assimétricos,assimétrico
assina,assinar
assinada,assinado
assinados,assinado
assinalamos,assinalar
assinalável,assinalável
assinatura,assinatura
assinaturas,assinatura
assinou,assinar
assiste,assistir
assistência,assistência
assistenciais,assistencial
assistencial,assistencial
assistencialista,
assistencialistas,assistencialista
assistente,assistente
assistentes,assistente
assistida,assistida
assistidas,assistido
assistido,assistido
assistimos,assistir
assistir,assistir
assistiu,assistir
assobiar,assobiar
associação,associação
associações,associação
associada,associado
associadas,associado
associado,associado
associados,associado
associando,associar
associar,associar
associarmos,associar
associativa,associativo
associativas,associativo
associativismo,associativismo
associativo,associativo
associativos,associativo
